STT,MÃ HÀNG,TÊN HÀNG,GHI CHÚ
52,TIATO,TÍA TÔ,
53,LAE,LÁ É,
54,LLTIM,LÔ LÔ TÍM,
55,RDCO,RADICHIO,
56,CCD,CỦ CẢI ĐỎ,
57,HUNGQ,HÚNG QUẾ,
58,NGOG,NGÒ GAI,
59,LHE,HẸ LÁ,
60,KLE,CẢI KALE,
61,DLN,DƯA LEO NHẬT,
62,DBB,DƯA LEO BABY,
63,DCVT,ĐẬU COVE TRẮNG,
64,DCVN,ĐẬU COVE NHẬT,
65,PARO,HÀNH PARO,
66,CCCR,CÀ CHUA CHERY,
67,BNV,BÍ NGÒI VÀNG,
68,RRUNG,RAU RỪNG,
69,BMY,BẮP MỸ,
70,DLEO,DƯA LEO THƯỜNG,
71,CCAI,CỦ CẢI TRẮNG,
72,MT1,MĂNG TÂY LOẠI 1,
73,MT2,MĂNG TÂY LOẠI 2,
74,MT3,MĂNG TÂY LOẠI 3,
75,BNX,BÍ NGÒI XANH,
76,DRONG,ĐẬU RỒNG,
77,DBAP,ĐẬU BẮP,
78,DHU,DƯA HẠ UYỂN,
79,KMON,KHOAI MÔN,
80,DPHONG,ĐẬU PHỘNG,
81,PLM,ỚT PALEMO,
82,SD,ỚT SỪNG ĐỎ,
83,SX,ỚT SỪNG XANH,
84,DHL,ĐẬU HÀ LAN,
85,CTHIA,CẢI THÌA,
86,BXOI,CẢI BÓ XÔI,
87,SUHAO,CỦ SU HÀO,
88,RBB,RỐT BABY,
89,BCTR,BẮP CẢI TRẮNG,
90,XXANH,ỚT XIÊM XANH,
91,BNON,BÍ NGÔ NON,
92,LME,LÁ MÈ,
93,DX,CỦ DỀN XÔ,
94,DST,CỦ DỀN SIÊU THỊ,
95,BXOI,CẢI BÓ XÔI,
96,BTIM,BẮP NỮ HOÀNG,
97,RMAIN,ROMAIN,
98,CVANG,CÀ CHERY VÀNG,
99,HCN,HỒNG CHÍN NÊN,
100,TDUA,TRÁI DỪA,
101,BS,BƠ SÁP,
102,THOM,THƠM MẬT,
103,CAM,CAM SÀNH,
104,XLCR,XÀ LÁCH CORON,
105,GIA,GIÁ,
106,CTOI,TỎI,
107,BUN,BÚN,
108,NROM,NẤM RƠM,
109,PAROD,HÀNH PARO ĐẤT,
110,SCL,CÀ SOCOLA,
111,BCT,BẮP CẢI TÍM,
112,TBOP,TẦM BÓP,
113,OCTHL,ỚT CHỈ THIÊN LẶT,
114,CROTC,CÀ RỐT CỒ,
115,KLT,KHOAI LANG TÍM,
116,CDEN,CỦ DỀN,
117,HDUNG,HÚNG ĐỨNG,
118,HLUI,HÚNG LỦI,
119,RMUONG,RAU MUỐNG,
120,BAPN,BẮP NON,
121,DCA,DIẾP CÁ,
122,CNGOT,CẢI NGỌT,
123,KQUA,KHỔ QUA,
124,DLT,DƯA LEO THƯỜNG,
125,ROCKET,ROCKET,
126,XLFS,XÀ LÁCH FRISE,
127,KLM,KHOAI LANG MẬT,
128,SHAO,SU HÀO,
129,NGG,NGÒ GAI,
130,NGO,NGÒ OM,
131,RRAM,RAU RĂM,
132,LXANH,LƠ XANH,
133,LTRANG,LƠ TRẮNG,
134,CXANH,CẢI XANH,
135,MUOP,MƯỚP,
136,BAU,BẦU,
137,BDX,BÍ ĐAO XANH,
138,KGIOI,KINH GIỚI,
139,TLA,THÌ LÀ,
140,CTAU,CẦN TÀU,
141,CDAU,CỦ ĐẬU,
142,RNGOT,RAU NGÓT,
143,MTOI,MỒNG TƠI,
144,GSONG,GIÁ SỐNG,
145,RLANG,RAU LANG ,
146,DNAO,DỪA NẠO,
147,HTIM,HÀNH TÍM,
148,DTAY,DÂU TÂY,
149,NTAY,NGÒ TÂY,
150,CCHQ,CỦ CẢI HQ,
151,NAMKC,NẤM KIM CHÂM,
152,NAMBN,NẤM BÀO NGƯ,
153,BN,BÍ NHẬT,
154,CVL1,CHANH VÀNG L1,
155,CVL2,CHANH VÀNG L2,
156,CVL3,CHANH VÀNG L3,
157,MT4,MĂNG TÂY L4,
158,HTRUNG,HỒNG TRỨNG,
159,BHA,BẠC HÀ,
160,TX,TRÀ XANH,
161,CTAYL,CẦN TÂY LỚN,
162,HCD,HỒNG CHÉN ĐÁ,
163,KTU,KHOAI TỪ,
164,BTH,BẮP TÁCH HẠT,
